"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"73","Caramel Swirl Iced Latte with Whole Milk ","Small","Whole","354",230,6,3.5,0,20,125,35,0,34,7,267,0.21,0,0,118
"74","French Vanilla Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,240,71,0,67,15,549,0.42,0,0,252
"75","French Vanilla Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,180,53,0,50,11,411,0.32,0,0,166
"76","French Vanilla Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0,0,0,5,120,35,0,33,7,275,0.21,0,0,118
"77","French Vanilla Swirl Iced Latte with Whole Milk ","Large","Whole","946",450,12,7,0,40,240,70,0,66,14,515,0.4,0,0,252
"78","French Vanilla Swirl Iced Latte with Whole Milk ","Medium","Whole","709",330,9,5,0,30,180,52,0,50,11,385,0.3,0,0,166
"79","French Vanilla Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0,118
"80","Hazelnut Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,240,71,0,67,15,549,0.42,0,0,252
"81","Hazelnut Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,180,53,0,50,11,411,0.32,0,0,166
"82","Hazelnut Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0,0,0,5,120,35,0,33,7,275,0.21,0,0,118
"83","Hazelnut Swirl Iced Latte with Whole Milk ","Large","Whole","946",450,12,7,0,40,240,70,0,66,14,515,0.4,0,0,252
"84","Hazelnut Swirl Iced Latte with Whole Milk ","Medium","Whole","709",340,9,5,0,30,180,53,0,50,11,385,0.3,0,0,166
"85","Hazelnut Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0,118
