drink,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watchers Pnts
Iced Coffee with Sugar Free Vanilla Syrup (Medium),90,70,8,5,0,30,100,11,0,2,2,95
Iced Coffee with Sugar Free Vanilla Syrup (Large),120,100,11,7,0,40,140,16,0,2,2,127
Sweet Tea (Child),110,0,0,0,0,0,5,27,0,27,0,137
Sweet Tea (Large),280,0,0,0,0,0,15,69,0,69,1,348
Sweet Tea (Medium),180,0,0,0,0,0,10,45,0,45,1,224
Sweet Tea (Small),150,0,0,0,0,0,10,36,0,36,1,185
Nonfat Cappuccino (Small),60,0,0,0,0,5,85,9,0,9,6,63
Nonfat Cappuccino (Medium),80,0,0,0,0,5,110,12,0,12,8,84
Nonfat Cappuccino (Large),90,0,0,0,0,5,130,13,0,13,9,94
Nonfat Latte (Small),90,0,0,0,0,5,115,13,0,13,9,94
Nonfat Latte (Medium),110,0,0,0,0,5,140,15,0,15,10,115
Nonfat Latte (Large),120,0,0,0,0,5,160,18,0,18,12,126
Nonfat Caramel Cappuccino (Small),150,0,0,0,0,5,120,33,0,32,5,177
Nonfat Caramel Cappuccino (Medium),190,0,0,0,0,5,150,41,0,41,6,225
Nonfat Caramel Cappuccino (Large),230,0,0,0,0,5,180,49,0,49,7,272
Nonfat Caramel Latte (Small),170,0,0,0,0,5,150,36,0,36,7,199
Nonfat Caramel Latte (Medium),220,0,0,0,0,5,180,45,0,45,9,256
Nonfat Caramel Latte (Large),260,0,0,0,0,5,220,53,0,53,10,303
Nonfat Hazelnut Cappuccino (Small),150,0,0,0,0,5,70,34,0,34,5,179
Nonfat Hazelnut Cappuccino (Medium),190,0,0,0,0,5,90,43,0,43,6,227
Nonfat Hazelnut Cappuccino (Large),230,0,0,0,0,5,100,51,0,51,7,274
Nonfat Hazelnut Latte (Small),180,0,0,0,0,5,95,37,0,37,7,210
Nonfat Hazelnut Latte (Medium),220,0,0,0,0,5,115,46,0,46,9,257
