"","NAME","SIZE","MILK","SERVING_SIZE_ml","CALORIES","TOTAL_FAT_g","SATURATED_FAT_g","TRANS_FAT_g","CHOLESTEROL_mg","SODIUM_mg","TOTAL_CARB_g","DIETARY_FIBER_g","SUGAR_g","PROTEIN_g","CALCIUM_mg","CALCIUM_pcdv","IRON_mg","IRON_pcdv","CAFFEINE_mg"
"46","Hazelnut Swirl Iced Macchiato with Skim Milk ","Medium","Nonfat","709",230,0,0,0,5,150,49,0,46,8,300,0.23,0,0,NA
"47","Hazelnut Swirl Iced Macchiato with Skim Milk ","Small","Nonfat","354",160,0,0,0,5,100,33,0,30,5,201,0.15,0,0,NA
"48","Hazelnut Swirl Iced Macchiato with Whole Milk ","Large","Whole","946",380,8,4.5,0,30,200,65,0,60,10,378,0.29,0,0,NA
"49","Hazelnut Swirl Iced Macchiato with Whole Milk ","Medium","Whole","709",280,6,3.5,0,20,150,49,0,45,8,283,0.22,0,0,NA
"50","Hazelnut Swirl Iced Macchiato with Whole Milk ","Small","Whole","354",190,4,2.5,0,15,100,33,0,30,5,189,0.15,0,0,NA
"51","Iced Macchiato with Skim Milk ","Large","Nonfat","946",90,0,0,0,5,135,14,0,12,8,317,0.24,0,0,NA
"52","Iced Macchiato with Skim Milk ","Medium","Nonfat","709",70,0,0,0,5,100,11,0,9,6,237,0.18,0,0,NA
"53","Iced Macchiato with Skim Milk ","Small","Nonfat","354",50,0,0,0,0,70,7,0,6,4,159,0.12,0,0,NA
"54","Iced Macchiato with Skim Milk and Sugar ","Large","Nonfat","946",230,0,0,0,5,135,49,0,47,8,317,0.24,0,0,NA
"55","Iced Macchiato with Skim Milk and Sugar ","Medium","Nonfat","709",170,0,0,0,5,100,37,0,35,6,237,0.18,0,0,NA
"56","Iced Macchiato with Skim Milk and Sugar ","Small","Nonfat","354",120,0,0,0,0,70,25,0,23,4,159,0.12,0,0,NA
"57","Iced Macchiato with Whole Milk ","Large","Whole","946",160,8,4.5,0,25,135,14,0,12,8,294,0.23,0,0,NA
"58","Iced Macchiato with Whole Milk ","Medium","Whole","709",120,6,3.5,0,20,105,10,0,9,6,220,0.17,0,0,NA
"59","Iced Macchiato with Whole Milk ","Small","Whole","354",80,4,2.5,0,10,70,7,0,6,4,147,0.11,0,0,NA
"60","Iced Macchiato with Whole Milk and Sugar ","Large","Whole","946",290,8,4.5,0,25,140,49,0,46,8,294,0.23,0,0,NA
"61","Iced Macchiato with Whole Milk and Sugar ","Small","Whole","354",150,4,2.5,0,10,70,25,0,23,4,148,0.11,0,0,NA
"62","Iced Macchiato with Whole Milk and Sugar","Medium","Whole","709",220,6,3.5,0,20,105,37,0,35,6,220,0.17,0,0,NA
"63","Mocha Swirl Iced Macchiato with Skim Milk ","Large","Nonfat","946",300,1,0.5,0,5,160,65,2,58,10,327,0.25,2,0.11,NA
"64","Mocha Swirl Iced Macchiato with Skim Milk ","Medium","Nonfat","709",230,1,0.5,0,5,125,49,2,43,7,245,0.19,2,0.11,NA
"65","Mocha Swirl Iced Macchiato with Skim Milk ","Small","Nonfat","354",150,0.5,0,0,0,85,33,1,29,5,164,0.13,1,0.06,NA
"66","Mocha Swirl Iced Macchiato with Whole Milk ","Large","Whole","946",370,9,5,0,25,170,64,2,57,9,305,0.23,2,0.11,NA
"67","Mocha Swirl Iced Macchiato with Whole Milk ","Medium","Whole","709",280,7,4,0,20,125,48,2,43,7,228,0.18,2,0.11,NA
"68","Mocha Swirl Iced Macchiato with Whole Milk ","Small","Whole","354",180,4.5,2.5,0,10,85,32,1,29,5,153,0.12,1,0.06,NA
"69","Iced Green Tea Sweetened ","Large",NA,"946",140,0,0,0,0,15,33,0,33,1,10,0.01,0,0,NA
"70","Caramel Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",180,0,0,0,5,125,36,0,35,8,284,0.22,0,0,NA
"71","Caramel Swirl Iced Latte with Whole Milk ","Large","Whole","946",450,12,7,0,40,250,70,0,69,14,534,0.41,0,0,NA
"72","Caramel Swirl Iced Latte with Whole Milk ","Medium","Whole","709",340,9,5,0,30,190,53,0,52,11,400,0.31,0,0,NA
"73","Caramel Swirl Iced Latte with Whole Milk ","Small","Whole","354",230,6,3.5,0,20,125,35,0,34,7,267,0.21,0,0,NA
"74","French Vanilla Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,240,71,0,67,15,549,0.42,0,0,NA
"75","French Vanilla Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,180,53,0,50,11,411,0.32,0,0,NA
"76","French Vanilla Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0,0,0,5,120,35,0,33,7,275,0.21,0,0,NA
"77","French Vanilla Swirl Iced Latte with Whole Milk ","Large","Whole","946",450,12,7,0,40,240,70,0,66,14,515,0.4,0,0,NA
"78","French Vanilla Swirl Iced Latte with Whole Milk ","Medium","Whole","709",330,9,5,0,30,180,52,0,50,11,385,0.3,0,0,NA
"79","French Vanilla Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0,NA
"80","Hazelnut Swirl Iced Latte with Skim Milk ","Large","Nonfat","946",350,0,0,0,10,240,71,0,67,15,549,0.42,0,0,NA
"81","Hazelnut Swirl Iced Latte with Skim Milk ","Medium","Nonfat","709",260,0,0,0,10,180,53,0,50,11,411,0.32,0,0,NA
"82","Hazelnut Swirl Iced Latte with Skim Milk ","Small","Nonfat","354",170,0,0,0,5,120,35,0,33,7,275,0.21,0,0,NA
"83","Hazelnut Swirl Iced Latte with Whole Milk ","Large","Whole","946",450,12,7,0,40,240,70,0,66,14,515,0.4,0,0,NA
"84","Hazelnut Swirl Iced Latte with Whole Milk ","Medium","Whole","709",340,9,5,0,30,180,53,0,50,11,385,0.3,0,0,NA
"85","Hazelnut Swirl Iced Latte with Whole Milk ","Small","Whole","354",220,6,3.5,0,20,120,35,0,33,7,258,0.2,0,0,NA
