,NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg
64,Iced Nonfat Vanilla Latte,Medium,Nonfat,150,0,0,0,5,70,33,0,33,5,142
65,Iced Nonfat Vanilla Latte,Large,Nonfat,190,0,0,0,5,85,41,0,41,6,178
66,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Small,Nonfat,40,0,0,0,0,85,13,0,5,4,71
67,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Medium,Nonfat,50,0,0,0,5,100,14,0,6,5,142
68,Iced Nonfat Latte with Sugar Free Vanilla Syrup,Large,Nonfat,60,0,0,0,5,130,19,0,8,6,178
69,Iced Mocha with Nonfat Milk,Medium,Nonfat,270,8,4.5,0,10,140,43,0,35,7,167
70,Iced Nonfat Caramel Mocha,Large,Nonfat,300,6,4,0,10,230,49,0,45,11,200
71,Iced Nonfat Caramel Mocha,Medium,Nonfat,240,6,4,0,10,190,37,0,34,9,167
72,Iced Nonfat Caramel Mocha,Small,Nonfat,200,6,4,0,10,140,29,0,26,6,86
73,Nonfat Caramel Mocha,Large,Nonfat,280,4,2.5,0,10,260,49,0,46,12,200
74,Nonfat Caramel Mocha,Medium,Nonfat,240,4,2.5,0,5,200,41,0,38,9,167
75,Nonfat Caramel Mocha,Small,Nonfat,200,4,2.5,0,5,170,34,0,31,8,86
76,Cappuccino,Small,Whole,120,7,4,0,20,85,9,0,9,6,71
77,Cappuccino,Medium,Whole,140,8,4.5,0,25,105,11,0,11,8,142
78,Cappuccino,Large,Whole,180,10,6,0,30,130,13,0,13,9,178
79,Latte,Small,Whole,150,8,4.5,0,25,105,11,0,11,8,71
80,Latte,Medium,Whole,180,10,6,0,30,130,13,0,13,10,142
81,Latte,Large,Whole,210,11,7,0,35,150,16,0,16,11,178
82,Caramel Cappuccino,Small,Whole,200,5,3,0,15,125,32,0,32,5,71
83,Caramel Cappuccino,Medium,Whole,240,6,3.5,0,20,150,41,0,40,6,142
84,Caramel Cappuccino,Large,Whole,290,8,4.5,0,25,190,49,0,49,8,178
85,Caramel Latte,Small,Whole,230,7,4,0,20,140,35,0,35,7,71
86,Caramel Latte,Medium,Whole,280,8,4.5,0,25,170,43,0,43,8,142
87,Caramel Latte,Large,Whole,330,9,5,0,30,210,52,0,51,9,178
88,Hazelnut Cappuccino,Small,Whole,200,5,3,0,15,70,34,0,34,5,71
89,Hazelnut Cappuccino,Medium,Whole,240,6,3.5,0,20,85,42,0,42,6,142
90,Hazelnut Cappuccino,Large,Whole,290,8,4.5,0,25,105,51,0,51,7,178
91,Hazelnut Latte,Small,Whole,230,7,4,0,20,90,36,0,36,7,71
92,Hazelnut Latte,Medium,Whole,280,8,4.5,0,25,110,45,0,45,8,142
93,Hazelnut Latte,Large,Whole,330,9,5,0,30,130,53,0,53,9,178
94,Vanilla Cappuccino,Small,Whole,200,5,3,0,15,70,34,0,34,5,71
95,Vanilla Cappuccino,Medium,Whole,240,6,3.5,0,20,85,42,0,42,6,142
96,Vanilla Cappuccino,Large,Whole,290,8,4.5,0,25,105,51,0,51,7,178
97,Vanilla Latte,Small,Whole,230,7,4,0,20,90,36,0,36,7,71
98,Vanilla Latte,Medium,Whole,280,8,4.5,0,25,110,44,0,44,8,142
99,Vanilla Latte,Large,Whole,330,9,5,0,30,130,53,0,53,9,178
100,Cappuccino with Sugar Free Vanilla Syrup,Small,Whole,100,5,3,0,15,105,15,0,7,5,71
101,Cappuccino with Sugar Free Vanilla Syrup,Medium,Whole,120,6,3.5,0,20,130,18,0,9,6,142
102,Cappuccino with Sugar Free Vanilla Syrup,Large,Whole,150,8,4.5,0,25,160,22,0,11,8,178
103,Latte with Sugar Free Vanilla Syrup,Small,Whole,130,7,4,0,20,125,17,0,10,7,71
104,Latte with Sugar Free Vanilla Syrup,Medium,Whole,160,8,5,0,25,150,21,0,11,8,142
105,Latte with Sugar Free Vanilla Syrup,Large,Whole,180,10,6,0,30,180,25,0,13,10,178
106,Mocha,Small,Whole,280,11,6,0,20,125,40,0,33,6,86
107,Mocha,Medium,Whole,330,12,7,0,25,150,48,0,41,7,167
108,Mocha,Large,Whole,400,14,8,0.5,30,190,58,0,49,10,200
109,Hot Chocolate,Small,Whole,300,12,7,0,25,135,41,0,35,8,7
110,Hot Chocolate,Medium,Whole,380,15,9,0.5,30,170,53,0,45,10,10
111,Hot Chocolate,Large,Whole,460,18,10,0.5,40,220,63,0,54,13,12
112,Iced Latte,Small,Whole,80,4.5,2.5,0,15,65,6,0,6,4,71
113,Iced Latte,Medium,Whole,100,6,3.5,0,15,80,8,0,8,6,142
114,Iced Latte,Large,Whole,140,8,4.5,0,25,105,10,0,10,7,178
115,Iced Caramel Latte,Small,Whole,160,3,1.5,0,10,100,29,0,29,3,71
116,Iced Caramel Latte,Medium,Whole,180,4.5,2.5,0,15,120,31,0,31,4,142
117,Iced Caramel Latte,Large,Whole,230,6,3.5,0,15,150,40,0,40,6,178
118,Iced Hazelnut Latte,Small,Whole,160,3,1.5,0,10,45,31,0,31,3,71
119,Iced Hazelnut Latte,Medium,Whole,180,4.5,2.5,0,15,65,33,0,33,4,142
120,Iced Hazelnut Latte,Large,Whole,230,6,3.5,0,15,85,41,0,41,6,178
121,Iced Vanilla Latte,Small,Whole,160,3,1.5,0,10,45,31,0,31,3,71
122,Iced Vanilla Latte,Medium,Whole,190,4.5,2.5,0,15,70,33,0,33,5,142
123,Iced Vanilla Latte,Large,Whole,230,6,3.5,0,15,85,41,0,41,6,178
124,Iced Latte with Sugar Free Vanilla Syrup,Small,Whole,60,3,2,0,10,80,12,0,4,3,71
125,Iced Latte with Sugar Free Vanilla Syrup,Medium,Whole,90,5,3,0,15,105,14,0,6,5,142
126,Iced Latte with Sugar Free Vanilla Syrup,Large,Whole,110,6,3.5,0,15,130,19,0,8,6,178
127,Iced Mocha,Medium,Whole,310,13,8,0,25,140,42,0,35,7,167
128,Caramel Mocha,Large,Whole,360,14,8,0.5,35,220,47,0,46,10,200
129,Caramel Mocha,Medium,Whole,290,12,7,0,25,180,39,0,38,8,167
130,Caramel Mocha,Small,Whole,250,11,6,0,25,150,33,0,31,7,86
131,Iced Caramel Mocha,Large,Whole,380,16,9,0.5,35,210,48,0,46,10,200
132,Iced Caramel Mocha,Medium,Whole,300,14,8,0,30,160,36,0,33,8,167
133,Iced Caramel Mocha,Small,Whole,240,12,7,0,25,130,29,0,26,6,86
134,Frappe Caramel,Small,Whole,450,20,13,1,55,135,61,0,57,6,75
135,Frappe Caramel,Medium,Whole,550,24,15,1,70,160,76,0,71,8,90
136,Frappe Caramel,Large,Whole,680,29,18,1.5,85,200,94,0,88,10,130
137,Frappe Mocha,Small,Whole,450,20,13,1,55,130,62,1,56,7,75
138,Frappe Mocha,Medium,Whole,560,24,15,1,65,160,78,1,70,8,90
139,Frappe Mocha,Large,Whole,680,28,18,1,80,200,96,1,87,10,130
