NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Hazelnut Swirl Iced Macchiato with Skim Milk - Medium,Medium,NA,230,0,0,0,5,150,49,0,46,8,300,0.23,0,0
Hazelnut Swirl Iced Macchiato with Skim Milk - Small,Small,NA,160,0,0,0,5,100,33,0,30,5,201,0.15,0,0
Hazelnut Swirl Iced Macchiato with Whole Milk - Large,Large,NA,380,8,4.5,0,30,200,65,0,60,10,378,0.29,0,0
Hazelnut Swirl Iced Macchiato with Whole Milk - Medium,Medium,NA,280,6,3.5,0,20,150,49,0,45,8,283,0.22,0,0
Hazelnut Swirl Iced Macchiato with Whole Milk - Small,Small,NA,190,4,2.5,0,15,100,33,0,30,5,189,0.15,0,0
Iced Macchiato with Skim Milk -Large,Large,NA,90,0,0,0,5,135,14,0,12,8,317,0.24,0,0
Iced Macchiato with Skim Milk -Medium,Medium,NA,70,0,0,0,5,100,11,0,9,6,237,0.18,0,0
Iced Macchiato with Skim Milk -Small,Small,NA,50,0,0,0,0,70,7,0,6,4,159,0.12,0,0
Iced Macchiato with Skim Milk and Sugar - Large,Large,NA,230,0,0,0,5,135,49,0,47,8,317,0.24,0,0
Iced Macchiato with Skim Milk and Sugar - Medium,Medium,NA,170,0,0,0,5,100,37,0,35,6,237,0.18,0,0
Iced Macchiato with Skim Milk and Sugar - Small,Small,NA,120,0,0,0,0,70,25,0,23,4,159,0.12,0,0
Iced Macchiato with Whole Milk -Large,Large,NA,160,8,4.5,0,25,135,14,0,12,8,294,0.23,0,0
Iced Macchiato with Whole Milk -Medium,Medium,NA,120,6,3.5,0,20,105,10,0,9,6,220,0.17,0,0
Iced Macchiato with Whole Milk -Small,Small,NA,80,4,2.5,0,10,70,7,0,6,4,147,0.11,0,0
Iced Macchiato with Whole Milk and Sugar - Large,Large,NA,290,8,4.5,0,25,140,49,0,46,8,294,0.23,0,0
Iced Macchiato with Whole Milk and Sugar - Small,Small,NA,150,4,2.5,0,10,70,25,0,23,4,148,0.11,0,0
Iced Macchiato with Whole Milk and Sugar- Medium,Medium,NA,220,6,3.5,0,20,105,37,0,35,6,220,0.17,0,0
Mocha Swirl Iced Macchiato with Skim Milk - Large,Large,NA,300,1,0.5,0,5,160,65,2,58,10,327,0.25,2,0.11
Mocha Swirl Iced Macchiato with Skim Milk - Medium,Medium,NA,230,1,0.5,0,5,125,49,2,43,7,245,0.19,2,0.11
Mocha Swirl Iced Macchiato with Skim Milk - Small,Small,NA,150,0.5,0,0,0,85,33,1,29,5,164,0.13,1,0.06
Mocha Swirl Iced Macchiato with Whole Milk - Large,Large,NA,370,9,5,0,25,170,64,2,57,9,305,0.23,2,0.11
Mocha Swirl Iced Macchiato with Whole Milk - Medium,Medium,NA,280,7,4,0,20,125,48,2,43,7,228,0.18,2,0.11
Mocha Swirl Iced Macchiato with Whole Milk - Small,Small,NA,180,4.5,2.5,0,10,85,32,1,29,5,153,0.12,1,0.06
Iced Green Tea Sweetened - Large,Large,NA,140,0,0,0,0,15,33,0,33,1,10,0.01,0,0
Caramel Swirl Iced Latte with Skim Milk - Small,Small,NA,180,0,0,0,5,125,36,0,35,8,284,0.22,0,0
Caramel Swirl Iced Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,250,70,0,69,14,534,0.41,0,0
Caramel Swirl Iced Latte with Whole Milk - Medium,Medium,NA,340,9,5,0,30,190,53,0,52,11,400,0.31,0,0
Caramel Swirl Iced Latte with Whole Milk - Small,Small,NA,230,6,3.5,0,20,125,35,0,34,7,267,0.21,0,0
French Vanilla Swirl Iced Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,240,71,0,67,15,549,0.42,0,0
French Vanilla Swirl Iced Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,180,53,0,50,11,411,0.32,0,0
French Vanilla Swirl Iced Latte with Skim Milk - Small,Small,NA,170,0,0,0,5,120,35,0,33,7,275,0.21,0,0
