NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CALCIUM_mg,CALCIUM_pcdv,IRON_mg,IRON_pcdv
Mocha Swirl Iced Cappuccino with Skim Milk - Medium,Medium,NA,220,1,0.5,0,5,115,48,2,43,7,244,0.19,1,0.06
Mocha Swirl Iced Cappuccino with Skim Milk - Small,Small,NA,150,0.5,0,0,0,80,32,1,29,5,164,0.13,1,0.06
Mocha Swirl Iced Cappuccino with Whole Milk - Large,Large,NA,360,9,5,0,25,160,63,2,57,9,304,0.23,2,0.11
Mocha Swirl Iced Cappuccino with Whole Milk - Medium,Medium,NA,270,7,4,0,20,120,48,2,43,7,227,0.17,1,0.06
Mocha Swirl Iced Cappuccino with Whole Milk - Small,Small,NA,180,4.5,2.5,0,10,80,32,1,29,5,152,0.12,1,0.06
Decaf Breakfast Black Tea - Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decaf Breakfast Black Tea -Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decaf Breakfast Black Tea - Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmony Leaf Green Tea - Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmony Leaf Green Tea -Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harmony Leaf Green Tea - Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus Kiss Herbal Infusion -Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus Kiss Herbal Infusion -Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hibiscus Kiss Herbal Infusion -Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Americano - Large,Large,NA,10,0,0,0,0,40,2,0,0,0,25,0.02,0,0
Iced Americano - Medium,Medium,NA,10,0,0,0,0,30,2,0,0,0,18,0.01,0,0
Iced Americano - Small,Small,NA,5,0,0,0,0,25,1,0,0,0,13,0.01,0,0
Caramel Swirl Iced Cappuccino with Skim Milk - Large,Large,NA,310,0,0,0,10,200,65,0,63,11,419,0.32,0,0
Caramel Swirl Iced Cappuccino with Skim Milk - Medium,Medium,NA,230,0,0,0,5,150,49,0,47,8,314,0.24,0,0
Caramel Swirl Iced Cappuccino with Skim Milk - Small,Small,NA,160,0,0,0,5,100,33,0,32,6,210,0.16,0,0
Caramel Swirl Iced Cappuccino with Whole Milk - Large,Large,NA,380,8,4.5,0,30,200,65,0,63,11,396,0.3,0,0
Caramel Swirl Iced Cappuccino with Whole Milk - Medium,Medium,NA,280,6,3.5,0,20,150,48,0,47,8,296,0.23,0,0
Caramel Swirl Iced Cappuccino with Whole Milk - Small,Small,NA,190,4,2.5,0,15,100,32,0,31,5,198,0.15,0,0
Caramel Swirl Hot Macchiato with Skim Milk - Large,Large,NA,310,0,0,0,10,190,66,0,63,11,404,0.31,0,0
Caramel Swirl Hot Macchiato with Skim Milk - Medium,Medium,NA,240,0,0,0,5,140,49,0,47,8,303,0.23,0,0
Caramel Swirl Hot Macchiato with Skim Milk - Small,Small,NA,160,0,0,0,5,95,33,0,32,6,203,0.16,0,0
Caramel Swirl Hot Macchiato with Whole Milk - Large,Large,NA,380,8,4.5,0,30,190,65,0,63,11,381,0.29,0,0
Caramel Swirl Hot Macchiato with Whole Milk - Medium,Medium,NA,290,6,3.5,0,20,140,49,0,47,8,286,0.22,0,0
Caramel Swirl Hot Macchiato with Whole Milk - Small,Small,NA,190,4,2.5,0,15,95,33,0,31,5,191,0.15,0,0
French Vanilla Swirl Hot Macchiato with Skim Milk - Large,Large,NA,310,0,0,0,10,180,65,0,61,11,385,0.3,0,0
French Vanilla Swirl Hot Macchiato with Skim Milk -Medium,Medium,NA,230,0,0,0,5,135,49,0,46,8,289,0.22,0,0
French Vanilla Swirl Hot Macchiato with Skim Milk - Small,Small,NA,160,0,0,0,5,90,33,0,30,5,193,0.15,0,0
French Vanilla Swirl Hot Macchiato with Whole Milk -Large,Large,NA,380,8,4.5,0,30,180,65,0,60,10,362,0.28,0,0
French Vanilla Swirl Hot Macchiato with Whole Milk -Medium,Medium,NA,280,6,3.5,0,20,135,49,0,45,8,272,0.21,0,0
French Vanilla Swirl Hot Macchiato with Whole Milk - Small,Small,NA,190,4,2.5,0,15,95,33,0,30,5,181,0.14,0,0
Hazelnut Swirl Hot Macchiato with Skim Milk - Large,Large,NA,310,0,0,0,10,180,65,0,61,11,385,0.3,0,0
Hazelnut Swirl Hot Macchiato with Skim Milk - Medium,Medium,NA,230,0,0,0,5,135,49,0,46,8,289,0.22,0,0
Hazelnut Swirl Hot Macchiato with Skim Milk - Small,Small,NA,160,0,0,0,5,90,33,0,30,5,193,0.15,0,0
Hazelnut Swirl Hot Macchiato with Whole Milk - Large,Large,NA,380,8,4.5,0,30,180,65,0,60,10,362,0.28,0,0
Hazelnut Swirl Hot Macchiato with Whole Milk - Medium,Medium,NA,280,6,3.5,0,20,135,49,0,45,8,272,0.21,0,0
Hazelnut Swirl Hot Macchiato with Whole Milk - Small,Small,NA,190,4,2.5,0,15,95,33,0,30,5,181,0.14,0,0
Hot Macchiato with Skim Milk -Large,Large,NA,90,0,0,0,5,120,14,0,12,8,301,0.23,0,0
Hot Macchiato with Skim Milk -Medium,Medium,NA,70,0,0,0,5,90,11,0,9,6,226,0.17,0,0
Hot Macchiato with Skim Milk -Small,Small,NA,50,0,0,0,0,65,7,0,6,4,151,0.12,0,0
Hot Macchiato with Skim Milk and Sugar - Large,Large,NA,230,0,0,0,5,120,49,0,47,8,301,0.23,0,0
Hot Macchiato with Skim Milk and Sugar - Medium,Medium,NA,170,0,0,0,5,90,37,0,35,6,226,0.17,0,0
Hot Macchiato with Skim Milk and Sugar - Small,Small,NA,120,0,0,0,0,65,25,0,23,4,151,0.12,0,0
Hot Macchiato with Whole Milk -Large,Large,NA,160,8,4.5,0,25,120,14,0,12,8,278,0.21,0,0
Hot Macchiato with Whole Milk -Medium,Medium,NA,120,6,3.5,0,20,90,10,0,9,6,209,0.16,0,0
Hot Macchiato with Whole Milk -Small,Small,NA,80,4,2.5,0,10,65,7,0,6,4,139,0.11,0,0
Hot Macchiato with Whole Milk and Sugar - Large,Large,NA,290,8,4.5,0,25,120,49,0,46,8,278,0.21,0,0
Hot Macchiato with Whole Milk and Sugar - Medium,Medium,NA,220,6,3.5,0,20,90,37,0,35,6,209,0.16,0,0
Hot Macchiato with Whole Milk and Sugar - Small,Small,NA,150,4,2.5,0,10,65,25,0,23,4,140,0.11,0,0
Mocha Swirl Hot Macchiato with Skim Milk - Large,Large,NA,300,1,0.5,0,5,150,65,2,58,10,312,0.24,2,0.11
Mocha Swirl Hot Macchiato with Skim Milk - Medium,Medium,NA,230,1,0.5,0,5,110,49,2,43,7,234,0.18,2,0.11
Mocha Swirl Hot Macchiato with Skim Milk - Small,Small,NA,150,0.5,0,0,0,75,33,1,29,5,156,0.12,1,0.06
Mocha Swirl Hot Macchiato with Whole Milk - Large,Large,NA,370,9,5,0,25,150,64,2,57,9,289,0.22,2,0.11
Mocha Swirl Hot Macchiato with Whole Milk - Medium,Medium,NA,280,7,4,0,20,115,48,2,43,7,217,0.17,2,0.11
Mocha Swirl Hot Macchiato with Whole Milk - Small,Small,NA,180,4.5,2.5,0,10,80,32,1,29,5,145,0.11,1,0.06
Vanilla Spice - Extra Large,XLarge,NA,490,17,14,0,5,95,85,1,71,2,48,0.04,0,0
Vanilla Spice - Large,Large,NA,420,14,12,0,5,80,72,1,60,2,41,0.03,0,0
Vanilla Spice - Medium,Medium,NA,310,11,9,0,5,60,54,0,46,2,31,0.02,0,0
Vanilla Spice - Small,Small,NA,220,8,6,0,5,45,38,0,32,1,22,0.02,0,0
Bold Breakfast Black Tea - Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bold Breakfast Black Tea -Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bold Breakfast Black Tea - Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamomile Fields Herbal Infusion - Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamomile Fields Herbal Infusion - Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chamomile Fields Herbal Infusion - Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cool Mint Herbal Infusion - Large,Large,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cool Mint Herbal Infusion -Medium,Medium,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cool Mint Herbal Infusion - Small,Small,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caramel Swirl Hot Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,230,71,0,69,15,553,0.43,0,0
Caramel Swirl Hot Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,170,53,0,52,11,415,0.32,0,0
Caramel Swirl Hot Latte with Skim Milk - Small,Small,NA,180,0,0,0,5,115,36,0,35,8,276,0.21,0,0
Caramel Swirl Hot Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,240,70,0,69,14,518,0.4,0,0
Caramel Swirl Hot Latte with Whole Milk - Medium,Medium,NA,340,9,5,0,30,180,53,0,52,11,389,0.3,0,0
Caramel Swirl Hot Latte with Whole Milk - Small,Small,NA,230,6,3.5,0,20,120,35,0,34,7,259,0.2,0,0
French Vanilla Swirl Hot Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,220,71,0,67,15,534,0.41,0,0
French Vanilla Swirl Hot Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,170,53,0,50,11,400,0.31,0,0
French Vanilla Swirl Hot Latte with Skim Milk - Small,Small,NA,170,0,0,0,5,110,35,0,33,7,267,0.21,0,0
French Vanilla Swirl Hot Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,230,70,0,66,14,499,0.38,0,0
French Vanilla Swirl Hot Latte with Whole Milk - Medium,Medium,NA,330,9,5,0,30,170,52,0,50,11,374,0.29,0,0
French Vanilla Swirl Hot Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,115,35,0,33,7,250,0.19,0,0
Hazelnut Swirl Hot Latte with Skim Milk - Large,Large,NA,350,0,0,0,10,220,71,0,67,15,534,0.41,0,0
Hazelnut Swirl Hot Latte with Skim Milk - Medium,Medium,NA,260,0,0,0,10,170,53,0,50,11,400,0.31,0,0
Hazelnut Swirl Hot Latte with Skim Milk - Small,Small,NA,170,0,0,0,5,110,35,0,33,7,267,0.21,0,0
Hazelnut Swirl Hot Latte with Whole Milk - Large,Large,NA,450,12,7,0,40,230,70,0,66,14,499,0.38,0,0
Hazelnut Swirl Hot Latte with Whole Milk - Medium,Medium,NA,340,9,5,0,30,170,53,0,50,11,374,0.29,0,0
Hazelnut Swirl Hot Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,115,35,0,33,7,250,0.19,0,0
Hot Latte with AlmondMilk -Large,Large,NA,130,3.5,0,0,0,240,23,1,20,2,699,0.54,1,0.06
Hot Latte with AlmondMilk -Medium,Medium,NA,100,3,0,0,0,180,17,1,15,1,525,0.4,1,0.06
Hot Latte with AlmondMilk -Small,Small,NA,70,2,0,0,0,120,11,0,10,1,350,0.27,1,0.06
Hot Latte with Skim Milk - Large,Large,NA,130,0,0,0,5,170,20,0,18,12,450,0.35,0,0
Hot Latte with Skim Milk -Medium,Medium,NA,100,0,0,0,5,125,15,0,14,9,337,0.26,0,0
Hot Latte with Skim Milk - Small,Small,NA,70,0,0,0,5,85,10,0,9,6,225,0.17,0,0
Hot Latte with Skim Milk and Sugar - Large,Large,NA,270,0,0,0,5,170,54,0,53,12,450,0.35,0,0
Hot Latte with Skim Milk and Sugar - Medium,Medium,NA,200,0,0,0,5,125,41,0,40,9,337,0.26,0,0
Hot Latte with Skim Milk and Sugar - Small,Small,NA,130,0,0,0,5,85,27,0,26,6,225,0.17,0,0
Hot Latte with Whole Milk - Large,Large,NA,230,12,7,0,35,170,19,0,18,12,415,0.32,0,0
Hot Latte with Whole Milk -Medium,Medium,NA,170,9,5,0,25,125,14,0,13,9,311,0.24,0,0
Hot Latte with Whole Milk - Small,Small,NA,120,6,3.5,0,20,85,9,0,9,6,208,0.16,0,0
Hot Latte with Whole Milk and Sugar - Large,Large,NA,370,12,7,0,35,170,54,0,52,12,416,0.32,0,0
Hot Latte with Whole Milk and Sugar - Medium,Medium,NA,270,9,5,0,25,125,40,0,39,9,312,0.24,0,0
Hot Latte with Whole Milk and Sugar - Small,Small,NA,180,6,3.5,0,20,85,27,0,26,6,208,0.16,0,0
Mocha Swirl Hot Latte with Skim Milk - Large,Large,NA,340,1,0.5,0,5,200,70,2,64,14,460,0.35,2,0.11
Mocha Swirl Hot Latte with Skim Milk - Medium,Medium,NA,250,1,0.5,0,5,150,52,2,48,10,345,0.27,1,0.06
Mocha Swirl Hot Latte with Skim Milk - Small,Small,NA,170,0.5,0,0,5,100,35,1,32,7,230,0.18,1,0.06
Mocha Swirl Hot Latte with Whole Milk - Large,Large,NA,440,13,7,0,35,200,69,2,63,13,426,0.33,2,0.11
Mocha Swirl Hot Latte with Whole Milk - Medium,Medium,NA,330,10,6,0,25,150,52,2,47,10,319,0.25,1,0.06
Mocha Swirl Hot Latte with Whole Milk - Small,Small,NA,220,6,3.5,0,20,100,35,1,32,7,213,0.16,1,0.06
Signature Caramel Craze Hot Latte with Skim Milk - Large,Large,NA,440,6,3.5,0,30,240,80,0,75,16,576,0.44,0,0
Signature Caramel Craze Hot Latte with Skim Milk - Medium,Medium,NA,340,5,3,0,25,180,61,0,57,12,436,0.34,0,0
Signature Caramel Craze Hot Latte with Skim Milk - Small,Small,NA,250,5,3,0,20,125,43,0,40,8,298,0.23,0,0
Signature Caramel Craze Hot Latte with Whole Milk - Large,Large,NA,530,17,10,0.5,60,250,79,0,74,15,542,0.42,0,0
Signature Caramel Craze Hot Latte with Whole Milk - Medium,Medium,NA,410,14,8,0,45,190,61,0,57,11,410,0.32,0,0
Signature Caramel Craze Hot Latte with Whole Milk - Small,Small,NA,300,11,6,0,35,130,43,0,39,8,281,0.22,0,0
Signature Cocoa Mocha Hot Latte with Skim Milk - Large,Large,NA,420,6,4,0,25,210,79,2,69,15,480,0.37,2,0.11
Signature Cocoa Mocha Hot Latte with Skim Milk - Medium,Medium,NA,330,6,3.5,0,20,160,61,2,53,11,363,0.28,2,0.11
Signature Cocoa Mocha Hot Latte with Skim Milk - Small,Small,NA,250,5,3.5,0,20,110,43,1,37,8,248,0.19,1,0.06
Signature Cocoa Mocha Hot Latte with Whole Milk - Large,Large,NA,520,18,11,0.5,55,210,78,2,68,14,445,0.34,2,0.11
Signature Cocoa Mocha Hot Latte with Whole Milk - Medium,Medium,NA,400,14,9,0,45,160,60,2,52,10,337,0.26,2,0.11
Signature Cocoa Mocha Hot Latte with Whole Milk - Small,Small,NA,300,11,7,0,35,110,43,1,36,7,230,0.18,1,0.06
Café con Leche - Large,Large,NA,340,12,7,0,35,170,47,0,46,12,415,0.32,0,0
Café con Leche - Medium,Medium,NA,250,9,5,0,25,125,35,0,34,9,312,0.24,0,0
Café con Leche - Small,Small,NA,170,6,3.5,0,20,85,23,0,23,6,208,0.16,0,0
Cortadito,1 Size,NA,80,1,0.5,0,5,20,16,0,16,1,35,0.03,0,0
Espresso with Sugar,Single Shot,NA,60,0,0,0,0,5,15,0,14,0,1,0,0,0
Hot Espresso,Single Shot,NA,5,0,0,0,0,5,1,0,0,0,1,0,0,0
Box 'O Joe®,1 Small Cup,NA,5,0,0,0,0,5,0,0,0,0,6,0,0,0
Café Au Lait with Skim Milk -Large,Large,NA,90,0,0,0,5,110,12,0,12,9,305,0.23,0,0
Café Au Lait with Skim Milk -Medium,Medium,NA,70,0,0,0,5,80,9,0,9,7,229,0.18,0,0
Café Au Lait with Skim Milk -Small,Small,NA,45,0,0,0,0,55,6,0,6,4,152,0.12,0,0
Café Au Lait with Whole Milk -Large,Large,NA,150,8,4.5,0,25,110,12,0,12,8,282,0.22,0,0
Café Au Lait with Whole Milk -Medium,Medium,NA,110,6,3.5,0,20,85,9,0,9,6,212,0.16,0,0
Café Au Lait with Whole Milk -Small,Small,NA,80,4,2.5,0,10,55,6,0,6,4,141,0.11,0,0
Caramel Swirl Hot Coffee with Black - Extra Large,XLarge,NA,280,0,0,0,5,95,64,0,64,4,140,0.11,0,0
Caramel Swirl Hot Coffee with Black - Large,Large,NA,230,0,0,0,5,75,52,0,51,3,113,0.09,0,0
Caramel Swirl Hot Coffee with Black - Medium,Medium,NA,170,0,0,0,5,60,39,0,38,3,85,0.07,0,0
Caramel Swirl Hot Coffee with Black - Small,Small,NA,110,0,0,0,0,40,26,0,26,2,57,0.04,0,0
Caramel Swirl Hot Coffee with Cream - Extra Large,XLarge,NA,420,15,8,0,50,150,67,0,66,6,208,0.16,0,0
Caramel Swirl Hot Coffee with Cream - Large,Large,NA,340,12,6,0,40,120,53,0,53,5,167,0.13,0,0
Caramel Swirl Hot Coffee with Cream - Medium,Medium,NA,260,9,4.5,0,30,90,40,0,40,4,126,0.1,0,0
Caramel Swirl Hot Coffee with Cream - Small,Small,NA,170,6,3,0,20,60,27,0,26,3,84,0.06,0,0
French Vanilla Swirl Hot Coffee -Extra Large,XLarge,NA,280,0,0,0,5,85,64,0,61,4,116,0.09,0,0
French Vanilla Swirl Hot Coffee -Large,Large,NA,220,0,0,0,5,70,51,0,49,3,93,0.07,0,0
French Vanilla Swirl Hot Coffee -Medium,Medium,NA,170,0,0,0,5,50,38,0,37,2,71,0.05,0,0
French Vanilla Swirl Hot Coffee -Small,Small,NA,110,0,0,0,0,35,26,0,24,2,48,0.04,0,0
French Vanilla Swirl Hot Coffee with Cream - Extra Large,XLarge,NA,420,15,8,0,50,135,66,0,63,6,184,0.14,0,0
French Vanilla Swirl Hot Coffee with Cream - Large,Large,NA,340,12,6,0,40,110,53,0,50,5,147,0.11,0,0
French Vanilla Swirl Hot Coffee with Cream - Medium,Medium,NA,250,9,4.5,0,30,85,40,0,38,4,111,0.09,0,0
French Vanilla Swirl Hot Coffee with Cream - Small,Small,NA,170,6,3,0,20,55,26,0,25,2,75,0.06,0,0
Hazelnut Swirl Hot Coffee - Extra Large,XLarge,NA,280,0,0,0,5,85,64,0,61,4,116,0.09,0,0
Hazelnut Swirl Hot Coffee - Large,Large,NA,220,0,0,0,5,70,51,0,49,3,93,0.07,0,0
Hazelnut Swirl Hot Coffee -Medium,Medium,NA,170,0,0,0,5,50,38,0,37,2,71,0.05,0,0
Hazelnut Swirl Hot Coffee - Small,Small,NA,110,0,0,0,0,35,26,0,24,2,48,0.04,0,0
Hazelnut Swirl Hot Coffee with Cream - Extra Large,XLarge,NA,420,15,8,0,50,135,66,0,63,6,184,0.14,0,0
Hazelnut Swirl Hot Coffee with Cream - Large,Large,NA,340,12,6,0,40,110,53,0,50,5,147,0.11,0,0
Hazelnut Swirl Hot Coffee with Cream - Medium,Medium,NA,250,9,4.5,0,30,85,40,0,38,4,111,0.09,0,0
Hazelnut Swirl Hot Coffee with Cream - Small,Small,NA,170,6,3,0,20,55,27,0,25,2,75,0.06,0,0
Hot Coffee - Extra Large,XLarge,NA,5,0,0,0,0,15,0,0,0,1,13,0.01,0,0
Hot Coffee - Large,Large,NA,5,0,0,0,0,10,0,0,0,1,11,0.01,0,0
Hot Coffee - Medium,Medium,NA,5,0,0,0,0,10,0,0,0,1,8,0.01,0,0
Hot Coffee - Small,Small,NA,5,0,0,0,0,5,0,0,0,0,6,0,0,0
Hot Coffee with AlmondMilk -Extra Large,XLarge,NA,45,1.5,0,0,0,85,7,0,7,1,243,0.19,0,0
Hot Coffee with AlmondMilk -Large,Large,NA,35,1,0,0,0,65,5,0,5,1,183,0.14,0,0
Hot Coffee with AlmondMilk -Medium,Medium,NA,25,0.5,0,0,0,45,4,0,3,1,123,0.09,0,0
Hot Coffee with AlmondMilk -Small,Small,NA,15,0,0,0,0,25,2,0,2,0,63,0.05,0,0
Hot Coffee with Cream - Extra Large,XLarge,NA,150,15,8,0,45,65,2,0,2,3,80,0.06,0,0
Hot Coffee with Cream - Large,Large,NA,120,12,6,0,35,55,2,0,2,2,64,0.05,0,0
Hot Coffee with Cream - Medium,Medium,NA,90,9,4.5,0,25,40,1,0,1,2,49,0.04,0,0
Hot Coffee with Cream - Small,Small,NA,60,6,3,0,20,30,1,0,1,1,33,0.03,0,0
Hot Coffee with Cream and Sugar - Extra Large,XLarge,NA,320,15,8,0,45,65,46,0,46,3,80,0.06,0,0
Hot Coffee with Cream and Sugar - Large,Large,NA,260,12,6,0,35,55,37,0,36,2,65,0.05,0,0
Hot Coffee with Cream and Sugar - Medium,Medium,NA,190,9,4.5,0,25,40,27,0,27,2,49,0.04,0,0
Hot Coffee with Cream and Sugar - Small,Small,NA,130,6,3,0,20,30,18,0,18,1,34,0.03,0,0
Hot Coffee with Skim Milk - Extra Large,XLarge,NA,30,0,0,0,0,45,4,0,4,3,105,0.08,0,0
Hot Coffee with Skim Milk - Large,Large,NA,25,0,0,0,0,35,3,0,3,3,84,0.06,0,0
Hot Coffee with Skim Milk -Medium,Medium,NA,20,0,0,0,0,25,2,0,2,2,64,0.05,0,0
Hot Coffee with Skim Milk - Small,Small,NA,15,0,0,0,0,20,2,0,2,1,43,0.03,0,0
Hot Coffee with Skim Milk and Sugar - Extra Large,XLarge,NA,200,0,0,0,0,45,47,0,47,3,105,0.08,0,0
Hot Coffee with Skim Milk and Sugar - Large,Large,NA,160,0,0,0,0,35,38,0,38,3,85,0.07,0,0
Hot Coffee with Skim Milk and Sugar - Medium,Medium,NA,120,0,0,0,0,25,28,0,28,2,64,0.05,0,0
Hot Coffee with Skim Milk and Sugar - Small,Small,NA,80,0,0,0,0,20,19,0,19,1,43,0.03,0,0
Hot Coffee with Sugar - Extra Large,XLarge,NA,170,0,0,0,0,15,44,0,43,1,13,0.01,0,0
Hot Coffee with Sugar - Large,Large,NA,140,0,0,0,0,10,35,0,35,1,11,0.01,0,0
Hot Coffee with Sugar - Medium,Medium,NA,110,0,0,0,0,10,26,0,26,1,9,0.01,0,0
Hot Coffee with Sugar - Small,Small,NA,70,0,0,0,0,5,17,0,17,0,7,0.01,0,0
Hot Coffee with Whole Milk -Extra Large,XLarge,NA,50,2.5,1.5,0,10,45,4,0,4,3,98,0.08,0,0
Hot Coffee with Whole Milk -Large,Large,NA,40,2,1,0,5,35,3,0,3,2,78,0.06,0,0
Hot Coffee with Whole Milk -Medium,Medium,NA,30,1.5,1,0,5,25,2,0,2,2,59,0.05,0,0
Hot Coffee with Whole Milk -Small,Small,NA,20,1,0.5,0,5,20,1,0,1,1,40,0.03,0,0
Hot Coffee with Whole Milk and Sugar - Extra Large,XLarge,NA,220,2.5,1.5,0,10,45,47,0,47,3,98,0.08,0,0
Hot Coffee with Whole Milk and Sugar - Large,Large,NA,190,2,1,0,5,35,42,0,42,2,79,0.06,0,0
Hot Coffee with Whole Milk and Sugar - Medium,Medium,NA,130,1.5,1,0,5,30,28,0,28,2,60,0.05,0,0
Hot Coffee with Whole Milk and Sugar - Small,Small,NA,90,1,0.5,0,5,20,19,0,19,1,40,0.03,0,0
Mocha Swirl Hot Coffee - Extra Large,XLarge,NA,260,1,0.5,0,0,45,63,3,57,3,25,0.02,2,0.11
Mocha Swirl Hot Coffee - Large,Large,NA,210,1,0,0,0,40,50,2,46,2,20,0.02,2,0.11
Mocha Swirl Hot Coffee - Medium,Medium,NA,160,0.5,0,0,0,30,38,2,34,2,16,0.01,1,0.06
Mocha Swirl Hot Coffee - Small,Small,NA,110,0,0,0,0,20,25,1,23,1,11,0.01,1,0.06
Mocha Swirl Hot Coffee with Cream - Extra Large,XLarge,NA,410,15,8,0,45,100,65,3,59,5,92,0.07,2,0.11
Mocha Swirl Hot Coffee with Cream - Large,Large,NA,330,12,7,0,35,80,52,2,47,4,74,0.06,2,0.11
Mocha Swirl Hot Coffee with Cream - Medium,Medium,NA,240,9,5,0,25,60,39,2,35,3,56,0.04,1,0.06
Mocha Swirl Hot Coffee with Cream - Small,Small,NA,160,6,3.5,0,20,40,26,1,24,2,38,0.03,1,0.06
Box 'O Joe(R) Hot Chocolate,1 Small Cup,NA,220,7,6,0,0,210,40,2,32,2,34,0.03,0,0
Dunkaccino® - Extra Large,XLarge,NA,540,23,19,0,10,510,80,1,58,4,102,0.08,1,0.06
Dunkaccino® - Large,Large,NA,490,21,17,0,10,470,73,1,53,4,94,0.07,1,0.06
Dunkaccino® - Medium,Medium,NA,350,15,12,0,5,340,52,1,38,3,67,0.05,0,0
Dunkaccino® - Small,Small,NA,240,10,8,0,5,230,36,0,26,2,46,0.04,0,0
French Vanilla Dunkaccino(R) -Extra Large,XLarge,NA,570,26,21,0,10,570,86,1,62,4,80,0.06,1,0.06
French Vanilla Dunkaccino(R) -Large,Large,NA,470,21,17,0,10,460,70,1,50,3,65,0.05,1,0.06
French Vanilla Dunkaccino(R) -Medium,Medium,NA,350,16,13,0,5,350,53,1,38,2,49,0.04,0,0
French Vanilla Dunkaccino(R) -Small,Small,NA,230,10,8,0,5,230,35,0,25,2,33,0.03,0,0
Hot Chocolate with Espresso Shot - Large,Large,NA,400,12,11,0,0,390,71,3,55,3,61,0.05,1,0.06
Hot Chocolate with Espresso Shot - Medium,Medium,NA,280,9,8,0,0,280,51,2,39,2,43,0.03,0,0
Hot Chocolate with Espresso Shot - Small,Small,NA,190,6,5,0,0,190,35,1,27,2,30,0.02,0,0
Mint Hot Chocolate - Extra Large,XLarge,NA,490,16,14,0,0,430,87,3,70,3,39,0.03,1,0.06
Mint Hot Chocolate - Large,Large,NA,400,13,12,0,0,350,72,3,57,3,32,0.02,0,0
Mint Hot Chocolate - Medium,Medium,NA,300,10,9,0,0,260,52,2,42,2,23,0.02,0,0
Mint Hot Chocolate - Small,Small,NA,210,7,6,0,0,180,36,1,29,1,16,0.01,0,0
OREO® Hot Chocolate - Extra Large,XLarge,NA,580,13,10,0,0,630,110,4,88,7,172,0.13,5,0.28
OREO® Hot Chocolate - Large,Large,NA,460,10,8,0,0,500,88,3,70,6,138,0.11,4,0.22
OREO® Hot Chocolate - Medium,Medium,NA,350,8,6,0,0,380,66,2,53,4,103,0.08,3,0.17
OREO® Hot Chocolate - Small,Small,NA,230,5,4,0,0,250,44,1,35,3,69,0.05,2,0.11
Original Hot Chocolate - Extra Large,XLarge,NA,500,15,14,0,0,480,89,3,71,4,76,0.06,1,0.06
Original Hot Chocolate - Large,Large,NA,460,14,13,0,0,440,82,3,65,4,70,0.05,1,0.06
Original Hot Chocolate - Medium,Medium,NA,330,10,9,0,0,320,59,2,46,3,50,0.04,0,0
Original Hot Chocolate - Small,Small,NA,220,7,6,0,0,210,40,2,32,2,34,0.03,0,0
Cappuccino with Skim Milk -Large,Large,NA,90,0,0,0,5,115,13,0,12,8,300,0.23,0,0
Cappuccino with Skim Milk -Medium,Medium,NA,70,0,0,0,5,85,10,0,9,6,225,0.17,0,0
Cappuccino with Skim Milk -Small,Small,NA,45,0,0,0,0,55,7,0,6,4,150,0.12,0,0
Cappuccino with Skim Milk and Sugar - Large,Large,NA,230,0,0,0,5,115,48,0,47,8,301,0.23,0,0
Cappuccino with Skim Milk and Sugar - Medium,Medium,NA,170,0,0,0,5,85,36,0,35,6,225,0.17,0,0
Cappuccino with Skim Milk and Sugar - Small,Small,NA,110,0,0,0,0,55,24,0,23,4,150,0.12,0,0
