NAME,SIZE,ROAST,MILK,WHIP,SERVING_SIZE_ml,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,VIT_A_pcdv,VIT_C_pcdv,CALCIUM_pcdv,IRON_pcdv,CAFFEINE_mg,CALS,PRICE
Brewed Coffee,Short,Dark,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,130,5,2.15
Brewed Coffee,Tall,Dark,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,193,5,2.25
Brewed Coffee,Grande,Dark,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,260,5,2.65
Brewed Coffee,Venti,Dark,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,340,5,2.95
Brewed Coffee,Short,Decaf,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,15,5,2.15
Brewed Coffee,Tall,Decaf,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,20,5,2.25
Brewed Coffee,Grande,Decaf,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,25,5,2.65
Brewed Coffee,Venti,Decaf,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,30,5,2.95
Brewed Coffee,Short,Medium,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,155,5,2.15
Brewed Coffee,Tall,Medium,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,235,5,2.25
Brewed Coffee,Grande,Medium,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,310,5,2.65
Brewed Coffee,Venti,Medium,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,410,5,2.95
Brewed Coffee,Short,Blonde,NA,NA,236,3,0.1,0,0,0,5,0,0,0,0.3,0,0,0,0,180,5,2.15
Brewed Coffee,Tall,Blonde,NA,NA,354,4,0.1,0,0,0,10,0,0,0,0.5,0,0,0,0,270,5,2.25
Brewed Coffee,Grande,Blonde,NA,NA,473,5,0.1,0,0,0,10,0,0,0,1,0,0,0,0,360,5,2.65
Brewed Coffee,Venti,Blonde,NA,NA,591,5,0.1,0,0,0,10,0,0,0,1,0,0,0.02,0,475,5,2.95
Caffe Misto,Short,NA,Nonfat,NA,236,35,0.1,0.1,0,0,45,5,0,5,4,0.06,0,0.1,0,75,50,2.85
Caffe Misto,Short,NA,2%,NA,236,50,2,1,0.1,10,50,5,0,5,4,0.06,0,0.1,0,75,50,2.85
Caffe Misto,Short,NA,Whole,NA,236,70,3.5,2,0.1,10,50,5,0,5,3,0.04,0,0.1,0,75,50,2.85
Caffe Misto,Short,NA,Soy,NA,236,40,1.5,0.2,0,0,40,3,0,2,3,0.04,0,0.1,0.06,75,50,2.85
Caffe Misto,Short,NA,Coconut,NA,236,40,2.5,2.5,0,0,45,4,0,3,0.4,0,0,0,0,75,50,2.85
Caffe Misto,Tall,NA,Nonfat,NA,354,60,0.2,0.1,0,5,70,8,0,8,6,0.1,0,0.2,0,115,80,2.95
Caffe Misto,Tall,NA,2%,NA,354,80,3,1.5,0.1,15,80,8,0,8,5,0.08,0,0.2,0,115,80,2.95
Caffe Misto,Tall,NA,Whole,NA,354,100,5,3,0.2,15,70,8,0,8,5,0.08,0,0.15,0,115,80,2.95
Caffe Misto,Tall,NA,Soy,NA,354,60,2.5,0.3,0,0,60,5,1,4,4,0.06,0,0.2,0.08,115,80,2.95
Caffe Misto,Tall,NA,Coconut,NA,354,60,3.5,3.5,0,0,70,6,0,5,1,0,0,0,0,115,80,2.95
Caffe Misto,Grande,NA,Nonfat,NA,473,70,0.2,0.1,0,5,90,10,0,10,7,0.15,0,0.25,0,150,110,3.35
Caffe Misto,Grande,NA,2%,NA,473,110,4,2,0.1,15,100,10,0,10,7,0.1,0,0.25,0,150,110,3.35
Caffe Misto,Grande,NA,Whole,NA,473,130,7,4,0.2,20,95,10,0,10,7,0.1,0,0.2,0,150,110,3.35
Caffe Misto,Grande,NA,Soy,NA,473,80,3,0.4,0,0,80,6,1,5,6,0.08,0,0.25,0.1,150,110,3.35
Caffe Misto,Grande,NA,Coconut,NA,473,70,4.5,4.5,0,0,90,7,0,7,1,0,0,0,0,150,110,3.35
Caffe Misto,Venti,NA,Nonfat,NA,591,90,0.3,0.2,0,5,115,13,0,13,9,0.15,0,0.3,0,195,130,3.65
Caffe Misto,Venti,NA,2%,NA,591,130,5,2.5,0.2,20,130,13,0,13,9,0.15,0,0.3,0,195,130,3.65
Caffe Misto,Venti,NA,Whole,NA,591,160,9,5,0.3,25,120,13,0,13,9,0.1,0,0.25,0,195,130,3.65
Caffe Misto,Venti,NA,Soy,NA,591,100,4,0.5,0,0,100,8,1,6,7,0.1,0,0.3,0.15,195,130,3.65
Caffe Misto,Venti,NA,Coconut,NA,591,80,5,4.5,0,0,90,7,0,7,1,0,0,0,0,195,130,3.65
Brewed Coffee,Short,Dark,NA,NA,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,190,5,2.15
Brewed Coffee,Tall,Dark,NA,NA,354,10,0,0,0,0,10,0,0,0,0,0,0,0,0,280,5,2.25
Brewed Coffee,Grande,Dark,NA,NA,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,380,5,2.65
Brewed Coffee,Venti,Dark,NA,NA,591,10,0,0,0,0,10,0,0,0,1,0,0,0,0,470,5,2.95
Brewed Coffee,Short,Light,NA,NA,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,155,5,2.15
Brewed Coffee,Tall,Light,NA,NA,354,10,0,0,0,0,10,0,0,0,0,0,0,0,0,255,5,2.25
Brewed Coffee,Grande,Light,NA,NA,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,340,5,2.65
Brewed Coffee,Venti,Light,NA,NA,591,10,0,0,0,0,10,0,0,0,1,0,0,0,0,425,5,2.95
Brewed Coffee,Short,Medium,NA,NA,236,10,0,0,0,0,5,0,0,0,0,0,0,0,0,170,5,2.15
Brewed Coffee,Tall,Medium,NA,NA,354,10,0,0,0,0,10,0,0,0,0,0,0,0,0,280,5,2.25
Brewed Coffee,Grande,Medium,NA,NA,473,10,0,0,0,0,10,0,0,0,1,0,0,0,0,375,5,2.65
Brewed Coffee,Venti,Medium,NA,NA,591,10,0,0,0,0,10,0,0,0,1,0,0,0,0,445,5,2.95
Iced Coffee,Tall,NA,NA,NA,354,60,0,0,0,0,10,15,0,15,0.2,0,0,0,0,120,60,2.95
Iced Coffee,Grande,NA,NA,NA,473,80,0.1,0,0,0,10,20,0,20,0.3,0,0,0.02,0,165,80,3.25
Iced Coffee,Venti,NA,NA,NA,709,120,0.1,0,0,0,15,30,0,30,0.4,0,0,0.02,0,235,120,3.75
Iced Coffee,Trenta,NA,NA,NA,887,160,0.1,0,0,0,15,40,0,39,1,0,0,0.02,0,280,160,3.95
Iced Coffee,Tall,NA,Nonfat,NA,354,80,0.1,0,0,0,30,17,0,17,2,0.02,0,0.06,0,90,60,2.95
Iced Coffee,Tall,NA,2%,NA,354,80,1,0.5,0,5,30,17,0,17,2,0.02,0,0.06,0,90,60,2.95
Iced Coffee,Tall,NA,Whole,NA,354,90,1.5,1,0,5,30,17,0,17,2,0.02,0,0.06,0,90,60,2.95
Iced Coffee,Tall,NA,Soy,NA,354,80,1,0.1,0,0,25,16,0,16,2,0.02,0,0.06,0.02,90,60,2.95
Iced Coffee,Tall,NA,Coconut,NA,354,80,1,1,0,0,25,17,0,16,0.3,0,0,0,0,110,60,2.95
Iced Coffee,Grande,NA,Nonfat,NA,473,100,0.1,0,0,0,35,23,0,23,2,0.04,0,0.08,0,125,80,3.25
Iced Coffee,Grande,NA,2%,NA,473,110,1.5,1,0.1,5,40,23,0,23,2,0.04,0,0.08,0,125,80,3.25
Iced Coffee,Grande,NA,Whole,NA,473,120,2,1,0.1,5,35,23,0,23,2,0.02,0,0.08,0,125,80,3.25
Iced Coffee,Grande,NA,Soy,NA,473,110,1,0.1,0,0,35,22,0,21,2,0.02,0,0.08,0.04,125,80,3.25
Iced Coffee,Grande,NA,Coconut,NA,473,100,1.5,1.5,0,0,35,22,0,22,0.4,0,0,0,0,150,80,3.25
Iced Coffee,Venti,NA,Nonfat,NA,709,160,0.1,0.1,0,0,60,35,0,35,4,0.06,0,0.15,0,170,120,3.75
Iced Coffee,Venti,NA,2%,NA,709,170,2,1.5,0.1,10,65,35,0,35,4,0.06,0,0.15,0,170,120,3.75
Iced Coffee,Venti,NA,Whole,NA,709,190,3.5,2,0.1,10,60,35,0,35,4,0.04,0,0.1,0,170,120,3.75
Iced Coffee,Venti,NA,Soy,NA,709,160,1.5,0.2,0,0,55,33,0,32,3,0.04,0,0.15,0.06,170,120,3.75
Iced Coffee,Venti,NA,Coconut,NA,709,160,2.5,2,0,0,55,33,0,33,1,0,0,0.02,0,205,120,3.75
Iced Coffee,Trenta,NA,Nonfat,NA,887,210,0.2,0.1,0,5,70,46,0,46,5,0.08,0,0.15,0,190,160,3.95
Iced Coffee,Trenta,NA,2%,NA,887,230,3,1.5,0.1,10,80,46,0,46,5,0.08,0,0.15,0,190,160,3.95
Iced Coffee,Trenta,NA,Whole,NA,887,240,4.5,2.5,0.1,15,75,46,0,46,5,0.06,0,0.15,0,190,160,3.95
Iced Coffee,Trenta,NA,Soy,NA,887,220,2,0.3,0,0,65,44,1,43,4,0.06,0,0.15,0.08,190,160,3.95
Iced Coffee,Trenta,NA,Coconut,NA,887,210,3,3,0,0,70,44,0,44,1,0,0,0.02,0,190,160,3.95
Vanilla Sweet Cream Cold Brew,Tall,NA,NA,NA,354,100,6,3.5,0.2,20,20,12,0,12,1,0.06,0,0.02,0,140,90,3.75
Vanilla Sweet Cream Cold Brew,Grande,NA,NA,NA,473,110,6,3.5,0.2,20,25,14,0,14,1,0.06,0,0.04,0,185,110,4.25
Vanilla Sweet Cream Cold Brew,Venti,NA,NA,NA,709,200,11,7,0.3,40,40,24,0,24,1,0.15,0,0.06,0,275,200,4.45
Vanilla Sweet Cream Cold Brew,Trenta,NA,NA,NA,887,210,11,7,0.3,40,45,26,0,26,2,0.15,0,0.06,0,320,210,4.75
Caffe Americano,Short,NA,NA,NA,236,5,0,0,0,0,5,1,0,0,0,0,0,0,0,75,5,2.65
Caffe Americano,Tall,NA,NA,NA,354,10,0,0,0,0,10,2,0,0,1,0,0,0.02,0,150,10,2.95
Caffe Americano,Grande,NA,NA,NA,473,15,0,0,0,0,15,3,0,0,1,0,0,0.02,0,225,15,3.45
