NAME,SIZE,MILK,CALORIES,TOTAL_FAT_g,SATURATED_FAT_g,TRANS_FAT_g,CHOLESTEROL_mg,SODIUM_mg,TOTAL_CARB_g,DIETARY_FIBER_g,SUGAR_g,PROTEIN_g,CAFFEINE_mg,CALS,PRICE,CPD
Vanilla Cappuccino,Large,Whole,290,8,4.5,0,25,105,51,0,51,7,178,230,2.79,63.79928315
Vanilla Cappuccino,Large,Whole,290,8,4.5,0,25,105,51,0,51,7,178,310,3.19,55.79937304
Mocha,Small,Whole,280,11,6,0,20,125,40,0,33,6,86,300,2,43
Mocha,Small,Whole,280,11,6,0,20,125,40,0,33,6,86,380,2.99,28.76254181
Mocha,Small,Whole,280,11,6,0,20,125,40,0,33,6,86,470,3.39,25.36873156
Mocha,Medium,Whole,330,12,7,0,25,150,48,0,41,7,167,300,2,83.5
Mocha,Medium,Whole,330,12,7,0,25,150,48,0,41,7,167,380,2.99,55.85284281
Mocha,Medium,Whole,330,12,7,0,25,150,48,0,41,7,167,470,3.39,49.26253687
Mocha,Large,Whole,400,14,8,0.5,30,190,58,0,49,10,200,300,2,100
Mocha,Large,Whole,400,14,8,0.5,30,190,58,0,49,10,200,380,2.99,66.88963211
Mocha,Large,Whole,400,14,8,0.5,30,190,58,0,49,10,200,470,3.39,58.99705015
Iced Latte,Small,Whole,80,4.5,2.5,0,15,65,6,0,6,4,71,90,2,35.5
Iced Latte,Small,Whole,80,4.5,2.5,0,15,65,6,0,6,4,71,120,2.79,25.44802867
Iced Latte,Small,Whole,80,4.5,2.5,0,15,65,6,0,6,4,71,170,3.19,22.25705329
Iced Latte,Medium,Whole,100,6,3.5,0,15,80,8,0,8,6,142,90,2,71
Iced Latte,Medium,Whole,100,6,3.5,0,15,80,8,0,8,6,142,120,2.79,50.89605735
Iced Latte,Medium,Whole,100,6,3.5,0,15,80,8,0,8,6,142,170,3.19,44.51410658
Iced Latte,Large,Whole,140,8,4.5,0,25,105,10,0,10,7,178,90,2,89
Iced Latte,Large,Whole,140,8,4.5,0,25,105,10,0,10,7,178,120,2.79,63.79928315
Iced Latte,Large,Whole,140,8,4.5,0,25,105,10,0,10,7,178,170,3.19,55.79937304
Iced Caramel Latte,Small,Whole,160,3,1.5,0,10,100,29,0,29,3,71,180,2,35.5
Iced Caramel Latte,Small,Whole,160,3,1.5,0,10,100,29,0,29,3,71,220,2.79,25.44802867
Iced Caramel Latte,Small,Whole,160,3,1.5,0,10,100,29,0,29,3,71,330,3.19,22.25705329
Iced Caramel Latte,Medium,Whole,180,4.5,2.5,0,15,120,31,0,31,4,142,180,2,71
Iced Caramel Latte,Medium,Whole,180,4.5,2.5,0,15,120,31,0,31,4,142,220,2.79,50.89605735
Iced Caramel Latte,Medium,Whole,180,4.5,2.5,0,15,120,31,0,31,4,142,330,3.19,44.51410658
Iced Caramel Latte,Large,Whole,230,6,3.5,0,15,150,40,0,40,6,178,180,2,89
Iced Caramel Latte,Large,Whole,230,6,3.5,0,15,150,40,0,40,6,178,220,2.79,63.79928315
